Date,Rep,Compound,Dilution,Wells,Perimeter,Middle,% in wells,
10/6/16,3,Pentyl Acetate,10^-4,2,13,0,13.33%,
10/6/16,3,Pentyl Acetate,10^-3,1,9,5,6.67%,
10/6/16,3,Pentyl Acetate,10^-3,2,10,3,13.33%,
10/6/16,3,Pentyl Acetate,10^-3,0,2,13,0.00%,
10/6/16,3,Pentyl Acetate,10^-2,0,3,12,0.00%,
10/6/16,3,Pentyl Acetate,10^-2,7,8,0,46.67%,
10/6/16,3,Pentyl Acetate,10^-2,6,8,1,40.00%,
10/6/16,3,Pentyl Acetate,10^-1,8,4,3,53.33%,
10/6/16,3,Pentyl Acetate,10^-1,4,9,2,26.67%,
10/6/16,3,Pentyl Acetate,10^-1,3,7,5,20.00%,
10/6/16,3,Pentyl Acetate,1,4,6,5,26.67%,
10/6/16,3,Pentyl Acetate,1,7,5,3,46.67%,
10/6/16,3,Pentyl Acetate,1,1,9,5,6.67%,
10/13/16,1,Pentyl Valerate,0,2,10,3,13.33%,
10/13/16,1,Pentyl Valerate,0,3,10,2,20.00%,
10/13/16,1,Pentyl Valerate,0,3,9,3,20.00%,
10/13/16,1,Pentyl Valerate,10^-5,2,7,6,13.33%,
10/13/16,1,Pentyl Valerate,10^-5,3,5,7,20.00%,
10/13/16,1,Pentyl Valerate,10^-5,3,9,3,20.00%,
10/13/16,1,Pentyl Valerate,10^-4,2,1,12,13.33%,
10/13/16,1,Pentyl Valerate,10^-4,2,3,10,13.33%,
10/13/16,1,Pentyl Valerate,10^-4,0,6,9,0.00%,
10/13/16,1,Pentyl Valerate,10^-3,1,9,5,6.67%,
10/13/16,1,Pentyl Valerate,10^-3,1,7,7,6.67%,
10/13/16,1,Pentyl Valerate,10^-3,0,2,13,0.00%,
10/13/16,1,Pentyl Valerate,10^-2,1,6,8,6.67%,
10/13/16,1,Pentyl Valerate,10^-2,1,9,5,6.67%,
10/13/16,1,Pentyl Valerate,10^-2,0,2,13,0.00%,
10/13/16,1,Pentyl Valerate,10^-1,5,2,8,33.33%,
10/13/16,1,Pentyl Valerate,10^-1,4,8,3,26.67%,
10/13/16,1,Pentyl Valerate,10^-1,3,4,8,20.00%,
10/13/16,1,Pentyl Valerate,1,5,5,5,33.33%,
10/13/16,1,Pentyl Valerate,1,6,5,4,40.00%,
10/13/16,1,Pentyl Valerate,1,0,8,7,0.00%,
10/20/16,2,Pentyl Valerate,0,1,13,1,6.67%,
10/20/16,2,Pentyl Valerate,0,1,14,0,6.67%,
10/20/16,2,Pentyl Valerate,0,3,7,5,20.00%,
10/20/16,2,Pentyl Valerate,10^-5,4,9,2,26.67%,
10/20/16,2,Pentyl Valerate,10^-5,5,9,1,33.33%,
10/20/16,2,Pentyl Valerate,10^-5,3,8,4,20.00%,
10/20/16,2,Pentyl Valerate,10^-4,2,10,3,13.33%,
10/20/16,2,Pentyl Valerate,10^-4,2,6,7,13.33%,
10/20/16,2,Pentyl Valerate,10^-4,2,6,7,13.33%,
10/20/16,2,Pentyl Valerate,10^-3,1,8,6,6.67%,
10/20/16,2,Pentyl Valerate,10^-3,2,11,2,13.33%,
10/20/16,2,Pentyl Valerate,10^-3,4,8,3,26.67%,
10/20/16,2,Pentyl Valerate,10^-2,2,5,8,13.33%,
10/20/16,2,Pentyl Valerate,10^-2,7,6,2,46.67%,
10/20/16,2,Pentyl Valerate,10^-2,4,5,6,26.67%,
10/20/16,2,Pentyl Valerate,10^-1,4,10,1,26.67%,
10/20/16,2,Pentyl Valerate,10^-1,5,8,2,33.33%,
10/20/16,2,Pentyl Valerate,10^-1,6,4,5,40.00%,
10/20/16,2,Pentyl Valerate,1,4,7,4,26.67%,
10/20/16,2,Pentyl Valerate,1,2,12,1,13.33%,
10/20/16,2,Pentyl Valerate,1,2,11,2,13.33%,
10/27/16,3,Pentyl Valerate,0,2,8,5,13.33%,
10/27/16,3,Pentyl Valerate,0,5,5,5,33.33%,
10/27/16,3,Pentyl Valerate,0,3,5,7,20.00%,
10/27/16,3,Pentyl Valerate,10^-5,0,4,11,0.00%,
10/27/16,3,Pentyl Valerate,10^-5,1,1,13,6.67%,
10/27/16,3,Pentyl Valerate,10^-5,4,9,2,26.67%,
10/27/16,3,Pentyl Valerate,10^-4,0,2,13,0.00%,
10/27/16,3,Pentyl Valerate,10^-4,0,3,12,0.00%,
10/27/16,3,Pentyl Valerate,10^-4,0,2,13,0.00%,
10/27/16,3,Pentyl Valerate,10^-3,1,2,12,6.67%,
10/27/16,3,Pentyl Valerate,10^-3,0,0,15,0.00%,
10/27/16,3,Pentyl Valerate,10^-3,1,8,6,6.67%,
10/27/16,3,Pentyl Valerate,10^-2,1,3,11,6.67%,
10/27/16,3,Pentyl Valerate,10^-2,2,10,3,13.33%,
10/27/16,3,Pentyl Valerate,10^-2,4,7,4,26.67%,
10/27/16,3,Pentyl Valerate,10^-1,6,4,5,40.00%,
10/27/16,3,Pentyl Valerate,10^-1,0,5,10,0.00%,
10/27/16,3,Pentyl Valerate,10^-1,3,5,7,20.00%,
10/27/16,3,Pentyl Valerate,1,3,9,3,20.00%,
10/27/16,3,Pentyl Valerate,1,4,6,5,26.67%,
10/27/16,3,Pentyl Valerate,1,2,10,3,13.33%,
11/1/16,1,Methyl Valerate,0,0,11,4,0.00%,
11/1/16,1,Methyl Valerate,0,1,5,9,6.67%,
11/1/16,1,Methyl Valerate,0,3,7,5,20.00%,
11/1/16,1,Methyl Valerate,10^-5,0,10,5,0.00%,
11/1/16,1,Methyl Valerate,10^-5,12,0,3,80.00%,
11/1/16,1,Methyl Valerate,10^-5,4,9,2,26.67%,
11/1/16,1,Methyl Valerate,10^-4,1,14,0,6.67%,
11/1/16,1,Methyl Valerate,10^-4,0,9,6,0.00%,
11/1/16,1,Methyl Valerate,10^-4,0,7,8,0.00%,
11/1/16,1,Methyl Valerate,10^-3,1,10,4,6.67%,
11/1/16,1,Methyl Valerate,10^-3,1,11,3,6.67%,
11/1/16,1,Methyl Valerate,10^-3,8,5,2,53.33%,
11/1/16,1,Methyl Valerate,10^-2,3,9,3,20.00%,
11/1/16,1,Methyl Valerate,10^-2,6,8,1,40.00%,
11/1/16,1,Methyl Valerate,10^-2,3,12,0,20.00%,
11/1/16,1,Methyl Valerate,10^-1,8,6,1,53.33%,
11/1/16,1,Methyl Valerate,10^-1,2,3,10,13.33%,
11/1/16,1,Methyl Valerate,10^-1,1,12,2,6.67%,
11/1/16,1,Methyl Valerate,1,5,3,7,33.33%,
11/1/16,1,Methyl Valerate,1,9,3,3,60.00%,
11/1/16,1,Methyl Valerate,1,5,9,1,33.33%,
11/2/16,2,Methyl Valerate,0,1,10,4,6.67%,
11/2/16,2,Methyl Valerate,0,1,14,0,6.67%,
11/2/16,2,Methyl Valerate,0,2,4,9,13.33%,
11/2/16,2,Methyl Valerate,10^-5,3,4,8,20.00%,
11/2/16,2,Methyl Valerate,10^-5,0,3,12,0.00%,
11/2/16,2,Methyl Valerate,10^-5,4,8,3,26.67%,
11/2/16,2,Methyl Valerate,10^-4,1,10,4,6.67%,
11/2/16,2,Methyl Valerate,10^-4,2,6,7,13.33%,
11/2/16,2,Methyl Valerate,10^-4,3,7,5,20.00%,
11/2/16,2,Methyl Valerate,10^-3,5,8,2,33.33%,
11/2/16,2,Methyl Valerate,10^-3,0,11,4,0.00%,
11/2/16,2,Methyl Valerate,10^-3,0,4,11,0.00%,
11/2/16,2,Methyl Valerate,10^-2,5,4,6,33.33%,
11/2/16,2,Methyl Valerate,10^-2,3,8,4,20.00%,
11/2/16,2,Methyl Valerate,10^-2,2,6,7,13.33%,
11/2/16,2,Methyl Valerate,10^-1,4,7,4,26.67%,
11/2/16,2,Methyl Valerate,10^-1,4,6,5,26.67%,
11/2/16,2,Methyl Valerate,10^-1,0,7,8,0.00%,
11/2/16,2,Methyl Valerate,1,3,8,4,20.00%,
11/2/16,2,Methyl Valerate,1,0,14,1,0.00%,
11/2/16,2,Methyl Valerate,1,3,9,3,20.00%,
11/10/16,3,Methyl Valerate,0,1,5,9,6.67%,
11/10/16,3,Methyl Valerate,0,1,6,,14.29%,
11/10/16,3,Methyl Valerate,0,1,6,8,6.67%,
11/10/16,3,Methyl Valerate,10^-5,1,3,11,6.67%,
11/10/16,3,Methyl Valerate,10^-5,0,3,12,0.00%,
11/10/16,3,Methyl Valerate,10^-5,1,9,5,6.67%,
11/10/16,3,Methyl Valerate,10^-4,4,5,6,26.67%,
11/10/16,3,Methyl Valerate,10^-4,0,10,5,0.00%,
11/10/16,3,Methyl Valerate,10^-4,1,4,10,6.67%,
11/10/16,3,Methyl Valerate,10^-3,0,9,6,0.00%,
11/10/16,3,Methyl Valerate,10^-3,1,10,4,6.67%,
11/10/16,3,Methyl Valerate,10^-3,4,8,3,26.67%,
11/10/16,3,Methyl Valerate,10^-2,0,11,4,0.00%,
11/10/16,3,Methyl Valerate,10^-2,6,5,4,40.00%,
11/10/16,3,Methyl Valerate,10^-2,3,5,,37.50%,
11/10/16,3,Methyl Valerate,10^-1,6,9,0,40.00%,
11/10/16,3,Methyl Valerate,10^-1,5,6,4,33.33%,
11/10/16,3,Methyl Valerate,10^-1,1,8,6,6.67%,
11/10/16,3,Methyl Valerate,1,1,11,3,6.67%,
11/10/16,3,Methyl Valerate,1,4,9,2,26.67%,
11/10/16,3,Methyl Valerate,1,0,10,5,0.00%,
11/17/16,1,Ethyl Valerate,0,1,9,5,6.67%,
11/17/16,1,Ethyl Valerate,0,3,8,4,20.00%,
11/17/16,1,Ethyl Valerate,0,1,4,10,6.67%,
11/17/16,1,Ethyl Valerate,10^-5,7,6,2,46.67%,
11/17/16,1,Ethyl Valerate,10^-5,5,4,6,33.33%,
11/17/16,1,Ethyl Valerate,10^-5,3,7,5,20.00%,
11/17/16,1,Ethyl Valerate,10^-4,4,7,4,26.67%,
11/17/16,1,Ethyl Valerate,10^-4,4,7,4,26.67%,
11/17/16,1,Ethyl Valerate,10^-4,2,6,7,13.33%,
11/17/16,1,Ethyl Valerate,10^-3,4,8,3,26.67%,
11/17/16,1,Ethyl Valerate,10^-3,6,3,6,40.00%,
11/17/16,1,Ethyl Valerate,10^-3,3,6,6,20.00%,
11/17/16,1,Ethyl Valerate,10^-2,5,7,3,33.33%,
11/17/16,1,Ethyl Valerate,10^-2,3,9,3,20.00%,
11/17/16,1,Ethyl Valerate,10^-2,5,3,7,33.33%,
11/17/16,1,Ethyl Valerate,10^-1,5,6,4,33.33%,
11/17/16,1,Ethyl Valerate,10^-1,3,7,5,20.00%,
11/17/16,1,Ethyl Valerate,10^-1,3,9,3,20.00%,
11/17/16,1,Ethyl Valerate,1,2,6,7,13.33%,
11/17/16,1,Ethyl Valerate,1,3,9,3,20.00%,
11/17/16,1,Ethyl Valerate,1,2,12,1,13.33%,
12/1/16,2,Ethyl Valerate,0,0,13,2,0.00%,
12/1/16,2,Ethyl Valerate,0,4,7,4,26.67%,
12/1/16,2,Ethyl Valerate,0,3,6,6,20.00%,
12/1/16,2,Ethyl Valerate,10^-5,5,8,2,33.33%,
12/1/16,2,Ethyl Valerate,10^-5,3,5,7,20.00%,
12/1/16,2,Ethyl Valerate,10^-5,2,7,6,13.33%,
12/1/16,2,Ethyl Valerate,10^-4,7,5,3,46.67%,
12/1/16,2,Ethyl Valerate,10^-4,3,3,9,20.00%,
12/1/16,2,Ethyl Valerate,10^-4,2,11,2,13.33%,
12/1/16,2,Ethyl Valerate,10^-3,1,6,8,6.67%,
12/1/16,2,Ethyl Valerate,10^-3,6,4,5,40.00%,
12/1/16,2,Ethyl Valerate,10^-3,2,7,6,13.33%,
12/1/16,2,Ethyl Valerate,10^-2,9,4,2,60.00%,
12/1/16,2,Ethyl Valerate,10^-2,6,8,1,40.00%,
12/1/16,2,Ethyl Valerate,10^-2,3,8,4,20.00%,
12/1/16,2,Ethyl Valerate,10^-1,3,5,7,20.00%,
12/1/16,2,Ethyl Valerate,10^-1,7,6,2,46.67%,
12/1/16,2,Ethyl Valerate,10^-1,3,9,3,20.00%,
12/1/16,2,Ethyl Valerate,1,4,9,2,26.67%,
12/1/16,2,Ethyl Valerate,1,3,7,5,20.00%,
12/1/16,2,Ethyl Valerate,1,6,6,3,40.00%,
12/8/16,3,Ethyl Valerate,0,4,9,2,26.67%,
12/8/16,3,Ethyl Valerate,0,5,10,0,33.33%,
12/8/16,3,Ethyl Valerate,0,3,9,3,20.00%,
12/8/16,3,Ethyl Valerate,10^-5,5,4,6,33.33%,
12/8/16,3,Ethyl Valerate,10^-5,0,9,6,0.00%,
12/8/16,3,Ethyl Valerate,10^-5,2,7,6,13.33%,
12/8/16,3,Ethyl Valerate,10^-4,1,7,7,6.67%,
12/8/16,3,Ethyl Valerate,10^-4,3,3,9,20.00%,
12/8/16,3,Ethyl Valerate,10^-4,2,10,3,13.33%,
12/8/16,3,Ethyl Valerate,10^-3,5,7,3,33.33%,
12/8/16,3,Ethyl Valerate,10^-3,2,9,4,13.33%,
12/8/16,3,Ethyl Valerate,10^-3,4,6,5,26.67%,
12/8/16,3,Ethyl Valerate,10^-2,2,7,6,13.33%,
12/8/16,3,Ethyl Valerate,10^-2,4,8,3,26.67%,
12/8/16,3,Ethyl Valerate,10^-2,4,7,4,26.67%,
12/8/16,3,Ethyl Valerate,10^-1,8,4,3,53.33%,
12/8/16,3,Ethyl Valerate,10^-1,4,10,1,26.67%,
12/8/16,3,Ethyl Valerate,10^-1,9,3,3,60.00%,
12/8/16,3,Ethyl Valerate,1,8,6,1,53.33%,
12/8/16,3,Ethyl Valerate,1,6,8,1,40.00%,
12/8/16,3,Ethyl Valerate,1,2,10,3,13.33%,
12/13/16,1,Ethyl Propionate,0,5,10,0,33.33%,
12/13/16,1,Ethyl Propionate,0,6,5,4,40.00%,
12/13/16,1,Ethyl Propionate,0,5,8,2,33.33%,
12/13/16,1,Ethyl Propionate,10^-5,4,8,3,26.67%,
12/13/16,1,Ethyl Propionate,10^-5,5,6,4,33.33%,
12/13/16,1,Ethyl Propionate,10^-5,2,5,8,13.33%,
12/13/16,1,Ethyl Propionate,10^-4,6,9,0,40.00%,
12/13/16,1,Ethyl Propionate,10^-4,4,9,2,26.67%,
12/13/16,1,Ethyl Propionate,10^-4,4,5,6,26.67%,
12/13/16,1,Ethyl Propionate,10^-3,6,7,2,40.00%,
12/13/16,1,Ethyl Propionate,10^-3,4,8,3,26.67%,
12/13/16,1,Ethyl Propionate,10^-3,4,8,3,26.67%,
12/13/16,1,Ethyl Propionate,10^-2,5,6,4,33.33%,
12/13/16,1,Ethyl Propionate,10^-2,10,5,0,66.67%,
12/13/16,1,Ethyl Propionate,10^-2,2,10,3,13.33%,
12/13/16,1,Ethyl Propionate,10^-1,7,6,2,46.67%,
12/13/16,1,Ethyl Propionate,10^-1,4,9,2,26.67%,
12/13/16,1,Ethyl Propionate,10^-1,5,6,4,33.33%,
12/13/16,1,Ethyl Propionate,1,2,11,2,13.33%,
12/13/16,1,Ethyl Propionate,1,4,10,1,26.67%,
12/13/16,1,Ethyl Propionate,1,2,6,7,13.33%,
12/15/16,2,Ethyl Propionate,0,7,6,2,46.67%,
12/15/16,2,Ethyl Propionate,0,2,9,4,13.33%,
12/15/16,2,Ethyl Propionate,0,2,3,10,13.33%,
12/15/16,2,Ethyl Propionate,10^-5,5,6,4,33.33%,
12/15/16,2,Ethyl Propionate,10^-5,8,3,4,53.33%,
12/15/16,2,Ethyl Propionate,10^-5,3,6,6,20.00%,
12/15/16,2,Ethyl Propionate,10^-4,4,3,8,26.67%,
12/15/16,2,Ethyl Propionate,10^-4,2,6,7,13.33%,
12/15/16,2,Ethyl Propionate,10^-4,1,11,3,6.67%,
